split,method_norm,accuracy_12feat,f1_macro_12feat,f1_entailment_12feat,f1_neutral_12feat,f1_contradiction_12feat,accuracy_16feat,f1_macro_16feat,f1_entailment_16feat,f1_neutral_16feat,f1_contradiction_16feat,accuracy_delta_16_minus_12,f1_macro_delta_16_minus_12,f1_entailment_delta_16_minus_12,f1_neutral_delta_16_minus_12,f1_contradiction_delta_16_minus_12
snli_tr_1_1::test,Meta_FlatLSTM,0.8359120521172638,0.8355454967888768,0.8562168532704774,0.7921653971708379,0.8582542399253151,0.8344869706840391,0.8341608156388296,0.8551601948914809,0.790134946486738,0.85718730553827,-0.0014250814332247286,-0.0013846811500471956,-0.001056658378996489,-0.002030450684099905,-0.001066934387045082
snli_tr_1_1::test,Meta_LinearSVC,0.8277687296416938,0.8267480796220222,0.8536231884057971,0.7785021466051837,0.8481189038550859,0.8287866449511401,0.8278917446079106,0.8535031847133758,0.7811213177066836,0.8490507314036726,0.0010179153094462823,0.0011436649858883596,-0.00012000369242126663,0.0026191711014998953,0.0009318275485866723
snli_tr_1_1::test,Meta_MLP,0.8333672638436482,0.8329541119763304,0.8548649047689355,0.7886710239651417,0.8553264071949139,0.8350977198697068,0.8346868178038118,0.8562582927908006,0.789727626459144,0.8580745341614907,0.001730456026058591,0.0017327058274814178,0.0013933880218650607,0.001056602494002301,0.0027481269665767805
snli_tr_1_1::test,Qwen,0.7435871335504886,0.7427172879150307,0.8005685856432125,0.6651432053625838,0.7624400727392957,0.7435871335504886,0.7427172879150307,0.8005685856432125,0.6651432053625838,0.7624400727392957,0.0,0.0,0.0,0.0,0.0
snli_tr_1_1::test,Weighted_static_hand_weights,0.7790105863192183,0.7765460845286585,0.8200724540453509,0.7016298208810715,0.8079359786595531,0.7790105863192183,0.7765460845286585,0.8200724540453509,0.7016298208810715,0.8079359786595531,0.0,0.0,0.0,0.0,0.0
snli_tr_1_1::test,mDeBERTa,0.7328990228013029,0.7287793005937235,0.7856396866840731,0.6795256916996048,0.7211725233974925,0.7328990228013029,0.7287793005937235,0.7856396866840731,0.6795256916996048,0.7211725233974925,0.0,0.0,0.0,0.0,0.0
trglue_mnli::test_matched,BERT,0.6591918294849023,0.6391899507363303,0.7219348525094366,0.491156462585034,0.7044785371145204,0.6591918294849023,0.6391899507363303,0.7219348525094366,0.491156462585034,0.7044785371145204,0.0,0.0,0.0,0.0,0.0
trglue_mnli::test_matched,Class_conditional_routing_computed,0.7734236234458259,0.7704877583894604,0.8230816077953715,0.7269076305220884,0.7614740368509213,0.7734236234458259,0.7704877583894604,0.8230816077953715,0.7269076305220884,0.7614740368509213,0.0,0.0,0.0,0.0,0.0
trglue_mnli::test_matched,Gemma,0.3993117229129662,0.3578931802288022,0.4966344131257888,0.2386669933839745,0.3383781341766433,0.3993117229129662,0.3578931802288022,0.4966344131257888,0.2386669933839745,0.3383781341766433,0.0,0.0,0.0,0.0,0.0
trglue_mnli::test_matched,Majority_vote,0.7480017761989343,0.7405573213885952,0.7721639656816015,0.659712080116837,0.789795918367347,0.7480017761989343,0.7405573213885952,0.7721639656816015,0.659712080116837,0.789795918367347,0.0,0.0,0.0,0.0,0.0
trglue_mnli::test_matched,Meta_BiLSTM,0.8460257548845471,0.8459320806573882,0.8491499227202473,0.8382883656985737,0.8503579535533438,0.8511323268206039,0.8511011448611989,0.8525146559703796,0.8452934090517983,0.8554953695614188,0.005106571936056792,0.0051690642038106915,0.0033647332501323124,0.007005043353224605,0.005137416008075046
