feature,importance,config,method
qwen_p1,0.005782354234836379,multinli_tr_1_1,LinearSVC_CoefNorm
margin_qwen,0.12691611325458999,trglue_mnli,MLP_FirstLayerNorm
margin_mdeberta,0.12085312807366692,trglue_mnli,MLP_FirstLayerNorm
bert_p1,0.0675282484441583,trglue_mnli,MLP_FirstLayerNorm
mean_class1,0.05193959071686335,trglue_mnli,MLP_FirstLayerNorm
qwen_p2,0.049690714827233355,trglue_mnli,MLP_FirstLayerNorm
mdeberta_p1,0.04942476497963482,trglue_mnli,MLP_FirstLayerNorm
mdeberta_p2,0.04634614087685915,trglue_mnli,MLP_FirstLayerNorm
qwen_p1,0.042571906559332906,trglue_mnli,MLP_FirstLayerNorm
mean_class0,0.041765514716200464,trglue_mnli,MLP_FirstLayerNorm
bert_p0,0.041215889175264246,trglue_mnli,MLP_FirstLayerNorm
mean_class2,0.0407188522730159,trglue_mnli,MLP_FirstLayerNorm
qwen_p0,0.04013121660365641,trglue_mnli,MLP_FirstLayerNorm
bert_p2,0.03734387480022497,trglue_mnli,MLP_FirstLayerNorm
mdeberta_p0,0.03719480495244753,trglue_mnli,MLP_FirstLayerNorm
var_class0,0.031310763133042055,trglue_mnli,MLP_FirstLayerNorm
js_mdeberta_qwen,0.031207022113746676,trglue_mnli,MLP_FirstLayerNorm
var_class1,0.031012737945534597,trglue_mnli,MLP_FirstLayerNorm
js_bert_qwen,0.030887950347125177,trglue_mnli,MLP_FirstLayerNorm
var_class2,0.030257426506522713,trglue_mnli,MLP_FirstLayerNorm
margin_bert,0.027193735888958615,trglue_mnli,MLP_FirstLayerNorm
js_bert_mdeberta,0.024489603811921862,trglue_mnli,MLP_FirstLayerNorm
probs (9),0.41027975133214917,trglue_mnli,MLP_PermutationImportance_eval
mean (3),0.10166518650088807,trglue_mnli,MLP_PermutationImportance_eval
jsdiv (3),0.00832593250444047,trglue_mnli,MLP_PermutationImportance_eval
variance (3),0.008325932504440447,trglue_mnli,MLP_PermutationImportance_eval
margin (3),0.005350799289520402,trglue_mnli,MLP_PermutationImportance_eval
mdeberta_probs,0.1172957371225577,trglue_mnli,MLP_PerModel_PermImportance_eval
qwen_probs,0.10148756660746001,trglue_mnli,MLP_PerModel_PermImportance_eval
bert_probs,0.015985790408525723,trglue_mnli,MLP_PerModel_PermImportance_eval
var_class0,0.07707020141949375,trglue_mnli,LinearSVC_CoefNorm
qwen_p1,0.07697354603097546,trglue_mnli,LinearSVC_CoefNorm
var_class2,0.07438710872928656,trglue_mnli,LinearSVC_CoefNorm
var_class1,0.06849402911052854,trglue_mnli,LinearSVC_CoefNorm
qwen_p2,0.06700387971968842,trglue_mnli,LinearSVC_CoefNorm
js_bert_qwen,0.066130017869472,trglue_mnli,LinearSVC_CoefNorm
js_mdeberta_qwen,0.06071815834999739,trglue_mnli,LinearSVC_CoefNorm
mdeberta_p0,0.059912853739676315,trglue_mnli,LinearSVC_CoefNorm
mean_class1,0.05779145301475328,trglue_mnli,LinearSVC_CoefNorm
mdeberta_p2,0.05571187125610959,trglue_mnli,LinearSVC_CoefNorm
qwen_p0,0.055075982389120544,trglue_mnli,LinearSVC_CoefNorm
js_bert_mdeberta,0.05117255691018236,trglue_mnli,LinearSVC_CoefNorm
mean_class2,0.04992514698686743,trglue_mnli,LinearSVC_CoefNorm
mean_class0,0.049338277995180126,trglue_mnli,LinearSVC_CoefNorm
mdeberta_p1,0.034802287524787104,trglue_mnli,LinearSVC_CoefNorm
bert_p1,0.03354354293322108,trglue_mnli,LinearSVC_CoefNorm
bert_p2,0.016389968052042257,trglue_mnli,LinearSVC_CoefNorm
margin_mdeberta,0.014087386379773435,trglue_mnli,LinearSVC_CoefNorm
bert_p0,0.013282936511446963,trglue_mnli,LinearSVC_CoefNorm
margin_bert,0.010809577840644775,trglue_mnli,LinearSVC_CoefNorm
margin_qwen,0.007379217236752683,trglue_mnli,LinearSVC_CoefNorm
