split,method,row_kind,accuracy,f1_macro,f1_entailment,f1_neutral,f1_contradiction
trglue_mnli::test_matched,Meta_BiLSTM_train_only_12feat,computed,0.8460257548845471,0.8459320806573882,0.8491499227202473,0.8382883656985737,0.8503579535533438
trglue_mnli::test_matched,Meta_LinearSVC_train_only_12feat,computed,0.8392539964476021,0.8390479624744859,0.8449781659388647,0.8266344661031568,0.8455312553814363
trglue_mnli::test_matched,Qwen,computed,0.8156083481349912,0.8149914826526845,0.8230816077953715,0.7987024689133178,0.8231903712493643
trglue_mnli::test_matched,Weighted_static_hand_weights,computed,0.8138321492007105,0.8123139614442669,0.8223865448745832,0.7816222348269994,0.8329331046312178
trglue_mnli::test_matched,mDeBERTa,computed,0.7965142095914742,0.7934750701224781,0.8260869565217391,0.7508506616257089,0.8034875922199866
trglue_mnli::test_matched,Class_conditional_routing_computed,computed,0.7734236234458259,0.7704877583894604,0.8230816077953715,0.7269076305220884,0.7614740368509213
trglue_mnli::test_matched,Majority_vote,computed,0.7480017761989343,0.7405573213885952,0.7721639656816015,0.659712080116837,0.789795918367347
trglue_mnli::test_matched,BERT,computed,0.6591918294849023,0.6391899507363303,0.7219348525094366,0.49115646258503404,0.7044785371145204
trglue_mnli::test_matched,Gemma,computed,0.39931172291296624,0.3578931802288022,0.4966344131257888,0.2386669933839745,0.3383781341766433
trglue_mnli::test_matched,REF_published_static_weighted_84.08pct,reference_published,0.8408,,,,
trglue_mnli::test_mismatched,Meta_FlatLSTM_train_only_12feat,computed,0.9005099273082348,0.900010740626986,0.9097135740971357,0.8784823107161169,0.9118363370677058
trglue_mnli::test_mismatched,Meta_MLP_train_only_12feat,computed,0.8999674514484105,0.8994803256071213,0.908271144278607,0.8786582235153175,0.9115116090274396
trglue_mnli::test_mismatched,Meta_BiLSTM_train_only_12feat,computed,0.8998589562764457,0.8993843888979521,0.908271144278607,0.8776241679467486,0.9122578544685007
trglue_mnli::test_mismatched,Meta_LinearSVC_train_only_12feat,computed,0.8964956059455355,0.895963856662313,0.9058141357154051,0.8731623931623932,0.9089150411091408
trglue_mnli::test_mismatched,Qwen,computed,0.8767494846479331,0.8755823265792007,0.8894960534304797,0.8496428571428571,0.8876080691642652
trglue_mnli::test_mismatched,Weighted_static_hand_weights,computed,0.8699142888141478,0.8678134926867841,0.8799301411730461,0.8319013821441913,0.8916089547431149
trglue_mnli::test_mismatched,mDeBERTa,computed,0.8424650103070414,0.838739026848104,0.8755199049316696,0.7868173258003767,0.8538798498122653
trglue_mnli::test_mismatched,Class_conditional_routing_computed,computed,0.8267332103721384,0.8231290947585107,0.8894960534304797,0.7638282387190685,0.8160629921259842
trglue_mnli::test_mismatched,Majority_vote,computed,0.8065531083866768,0.7995670821025965,0.8239659200219871,0.7225280326197757,0.8522072936660269
trglue_mnli::test_mismatched,BERT,computed,0.7251817294130412,0.7076769165670805,0.7730763859796118,0.5737596471885337,0.7761947165330959
trglue_mnli::test_mismatched,Gemma,computed,0.41759791689269826,0.3698425496684013,0.521068128744035,0.23526435618517583,0.3531951640759931
trglue_mnli::test_mismatched,REF_published_static_weighted_84.08pct,reference_published,,,,,
